loss,val_loss,accuracy,val_accuracy
1.2742158464839977,0.9126020773276456,0.3254151291512915,0.4411764705882353
0.5653114764232917,0.476308637728263,0.5371309963099631,0.5294117647058824
0.3708933337808095,0.3564037182382755,0.6014760147601476,0.6037151702786377
0.27830943162810756,0.3214069787562816,0.647370848708487,0.628482972136223
0.2307353578920294,0.31172895039382736,0.6768911439114391,0.6331269349845201
0.19091294254983923,0.31795111506162416,0.7008763837638377,0.6362229102167183
0.16425772940540664,0.285331812759302,0.7220940959409594,0.6811145510835913
0.1318203145397545,0.2578590691735501,0.7442343173431735,0.6888544891640866
0.11477667967551748,0.2980074413559016,0.7652214022140221,0.673374613003096
0.10163478907953769,0.307085648086787,0.7815959409594095,0.6687306501547987
0.07963349796639158,0.2854367845890692,0.7982011070110702,0.6826625386996904
0.06873501048206843,0.30185596605664805,0.8021217712177122,0.6934984520123839
0.058776905395887875,0.3252280070316681,0.8148062730627307,0.6981424148606811
0.05332444877642107,0.30410801794599085,0.8226476014760148,0.7027863777089783
0.047909524910344406,0.2586699781403084,0.8367158671586716,0.7120743034055728
0.04007036781893885,0.28102697459721343,0.852859778597786,0.7027863777089783
